Date,Open,High,Low,Close,Volume
03/05/2008,38.11,39.68,38.02,39.68,"1,440,177"
03/06/2008,38.77,39.95,38.77,38.98,"763,228"
03/07/2008,38.20,38.46,37.55,37.96,"3,282,939"
03/10/2008,38.02,39.22,37.83,38.98,"1,085,053"
03/11/2008,38.94,40.55,38.88,40.23,"1,769,977"
03/12/2008,40.26,40.59,39.50,40.13,"917,375"
03/13/2008,39.38,39.38,38.06,38.21,"1,962,716"
03/14/2008,38.33,38.98,37.73,37.85,"1,532,617"
03/17/2008,37.38,37.64,35.83,36.06,"1,544,224"
03/18/2008,36.18,38.75,36.18,38.75,"1,067,502"
03/19/2008,38.66,39.29,37.42,39.22,"2,100,809"
03/20/2008,38.39,39.66,38.39,38.43,"3,392,743"
03/25/2008,39.63,40.45,39.49,40.45,"2,069,357"
03/26/2008,39.82,40.87,39.72,40.60,"4,474,458"
03/27/2008,40.98,42.31,40.98,41.56,"3,047,261"
03/28/2008,40.61,41.75,40.61,41.48,"1,059,994"
03/31/2008,40.69,42.02,40.26,41.52,"1,871,481"
04/01/2008,40.61,42.90,40.61,42.82,"2,170,594"
04/02/2008,43.46,43.72,41.75,42.54,"2,217,978"
04/03/2008,42.27,43.00,41.34,41.34,"1,677,851"
04/04/2008,41.34,42.26,41.06,42.01,"914,597"
04/07/2008,42.17,43.27,42.09,42.88,"1,192,288"
04/08/2008,42.63,42.63,41.54,41.79,"724,548"
04/09/2008,41.52,42.86,41.43,42.66,"933,012"
04/10/2008,41.98,42.63,41.43,41.61,"700,880"
04/11/2008,42.26,42.79,40.60,40.60,"1,775,246"
04/14/2008,40.60,41.22,39.63,40.42,"1,471,748"
04/15/2008,40.60,41.06,39.67,40.98,"864,172"
04/16/2008,40.69,41.75,40.69,41.52,"1,391,336"
04/17/2008,41.52,41.62,40.69,40.94,"1,521,325"
04/18/2008,40.65,42.17,40.63,42.17,"1,416,875"
04/21/2008,41.37,42.45,41.34,41.70,"989,550"
04/22/2008,41.43,41.70,40.42,41.22,"1,296,985"
04/23/2008,41.20,41.34,39.78,40.60,"1,765,569"
04/24/2008,40.60,41.92,40.33,41.92,"1,708,331"
04/25/2008,41.90,42.45,41.54,42.43,"1,735,488"
04/28/2008,42.38,42.91,42.38,42.77,"1,559,543"
04/29/2008,42.54,42.54,41.56,41.89,"1,453,909"
04/30/2008,41.61,42.45,41.12,42.45,"788,949"
05/05/2008,42.90,43.55,42.90,43.55,"1,237,788"
05/06/2008,43.65,43.73,43.18,43.70,"1,123,847"
05/07/2008,44.01,45.21,44.01,44.92,"2,515,607"
05/08/2008,44.74,44.75,43.84,44.29,"1,387,740"
05/09/2008,44.38,44.63,44.17,44.43,"1,544,489"
05/12/2008,44.43,45.03,44.31,44.57,"1,823,408"
05/13/2008,44.66,44.97,44.66,44.93,"1,208,262"
05/14/2008,45.06,45.95,44.95,45.95,"2,484,630"
05/15/2008,45.42,46.41,45.31,45.49,"3,501,053"
05/16/2008,45.85,46.00,45.31,45.67,"1,142,118"
05/19/2008,45.21,45.58,44.71,44.86,"617,454"
05/20/2008,44.75,45.11,44.36,44.62,"1,684,810"
05/21/2008,44.47,45.67,44.29,45.67,"1,656,891"
05/23/2008,44.80,45.87,44.80,45.39,"1,039,211"
05/26/2008,45.21,45.44,45.03,45.21,"970,626"
05/27/2008,45.24,45.84,45.22,45.22,"1,578,900"
05/28/2008,45.27,47.29,45.27,47.01,"5,320,241"
05/29/2008,47.06,47.70,46.14,46.60,"4,576,577"
05/30/2008,46.69,46.92,46.23,46.46,"1,668,632"
06/02/2008,46.41,47.24,46.27,47.01,"1,130,311"
06/03/2008,46.37,46.97,46.27,46.83,"987,140"
06/04/2008,46.74,46.74,44.78,44.78,"1,470,408"
06/05/2008,45.57,45.66,44.78,44.95,"1,400,971"
06/06/2008,45.67,46.06,44.29,44.29,"977,069"
06/09/2008,43.83,43.97,43.10,43.28,"1,410,490"
06/10/2008,42.91,43.28,42.26,42.72,"2,370,747"
06/11/2008,42.99,43.18,41.60,41.60,"1,814,821"
06/12/2008,41.58,42.40,41.58,42.40,"1,604,365"
06/13/2008,42.21,42.38,41.43,42.34,"1,513,254"
06/16/2008,42.58,43.18,42.45,42.63,"1,627,571"
06/17/2008,43.37,44.65,42.72,44.28,"3,894,901"
06/18/2008,44.28,44.28,43.37,43.83,"1,327,384"
06/19/2008,42.68,44.84,42.68,44.73,"2,388,313"
06/20/2008,44.34,44.93,42.95,42.95,"2,448,700"
06/23/2008,43.09,44.11,41.61,41.61,"1,130,149"
06/24/2008,42.45,42.61,41.08,41.95,"1,710,843"
06/25/2008,42.45,42.52,41.29,42.34,"824,275"
06/26/2008,42.34,42.63,41.34,41.97,"2,495,925"
06/27/2008,41.06,42.44,41.06,41.52,"1,476,958"
06/30/2008,42.90,42.90,41.54,42.32,"1,953,238"
07/01/2008,41.99,42.32,41.15,41.98,"2,075,948"
07/02/2008,41.61,41.85,40.65,40.78,"1,030,544"
07/03/2008,40.60,41.14,39.49,40.09,"2,765,530"
07/04/2008,40.05,40.42,39.40,39.44,"926,916"
07/07/2008,39.54,41.52,39.54,40.88,"1,304,713"
07/08/2008,40.15,42.72,39.87,42.72,"1,565,736"
07/09/2008,42.45,43.18,42.45,43.18,"3,206,980"
07/10/2008,41.99,43.13,41.98,41.98,"1,659,673"
07/11/2008,42.43,42.44,40.78,41.15,"1,194,512"
07/14/2008,41.80,42.33,41.53,41.53,"1,362,821"
07/15/2008,40.76,41.40,39.98,40.14,"1,889,007"
07/16/2008,40.59,40.88,39.58,39.79,"1,650,480"
07/17/2008,40.69,41.52,40.17,41.52,"2,135,265"
07/18/2008,41.71,42.54,41.53,42.23,"2,440,362"
07/21/2008,41.62,43.19,41.62,43.19,"1,314,869"
07/22/2008,42.54,42.81,42.06,42.64,"1,782,006"
07/23/2008,42.95,44.20,42.95,44.20,"2,276,437"
07/24/2008,44.01,45.58,44.01,45.03,"6,486,420"
07/25/2008,44.29,46.13,43.74,45.95,"2,337,436"
07/28/2008,45.41,46.23,45.22,45.49,"2,653,819"
07/29/2008,44.75,46.09,44.75,46.09,"1,004,702"
07/30/2008,46.14,48.07,46.11,48.07,"2,740,164"
07/31/2008,47.66,48.44,46.60,48.44,"2,909,137"
08/01/2008,47.66,48.17,46.37,47.98,"2,558,587"
08/04/2008,47.52,47.66,46.27,46.27,"1,474,510"
08/05/2008,46.14,47.70,46.14,47.43,"2,393,877"
08/06/2008,48.17,48.21,46.32,46.83,"2,449,657"
08/07/2008,46.83,47.75,46.04,46.04,"2,249,977"
08/08/2008,46.00,46.03,44.51,45.23,"1,934,292"
08/11/2008,46.12,46.14,45.40,45.63,"1,080,284"
08/12/2008,45.56,47.24,45.56,46.41,"1,740,047"
08/13/2008,45.50,45.91,43.55,44.10,"1,268,089"
08/14/2008,44.29,45.06,43.64,44.38,"2,024,828"
08/18/2008,44.57,45.74,44.29,45.49,"1,332,104"
08/19/2008,44.75,45.86,44.75,45.21,"1,443,750"
08/20/2008,44.98,45.67,44.47,45.02,"1,568,446"
08/21/2008,44.43,44.93,43.83,43.85,"2,452,532"
08/22/2008,44.65,44.71,43.75,44.71,"1,756,760"
08/25/2008,44.47,45.19,44.41,45.11,"1,119,378"
08/26/2008,44.29,44.56,44.06,44.29,"1,073,037"
