Date,Open,High,Low,Close
04/21/2008,"1,382.69","1,390.23","1,379.25","1,388.17"
04/22/2008,"1,382.47","1,386.43","1,369.84","1,375.94"
04/23/2008,"1,379.71","1,387.87","1,372.24","1,379.93"
04/24/2008,"1,382.14","1,397.72","1,371.09","1,388.82"
04/25/2008,"1,395.18","1,399.11","1,379.98","1,397.84"
04/28/2008,"1,398.44","1,402.90","1,394.40","1,396.37"
04/29/2008,"1,393.18","1,397.00","1,386.70","1,390.94"
04/30/2008,"1,393.89","1,404.57","1,384.25","1,385.59"
05/01/2008,"1,384.23","1,410.07","1,383.07","1,409.34"
05/02/2008,"1,409.16","1,422.72","1,406.25","1,413.90"
05/05/2008,"1,410.83","1,415.70","1,404.37","1,407.49"
05/06/2008,"1,401.49","1,421.57","1,397.10","1,418.26"
05/07/2008,"1,417.53","1,419.54","1,391.16","1,392.57"
05/08/2008,"1,397.75","1,402.35","1,389.39","1,397.68"
05/09/2008,"1,385.11","1,394.90","1,384.11","1,388.28"
05/12/2008,"1,390.40","1,404.06","1,386.20","1,403.58"
05/13/2008,"1,407.07","1,406.30","1,396.26","1,403.04"
05/14/2008,"1,409.45","1,420.19","1,405.65","1,408.66"
05/15/2008,"1,408.36","1,424.40","1,406.87","1,423.57"
05/16/2008,"1,425.70","1,425.82","1,414.35","1,425.35"
05/19/2008,"1,425.74","1,440.24","1,421.63","1,426.63"
05/20/2008,"1,419.93","1,424.49","1,409.09","1,413.40"
05/21/2008,"1,416.16","1,419.12","1,388.81","1,390.71"
05/22/2008,"1,390.83","1,399.07","1,390.23","1,394.35"
05/23/2008,"1,389.24","1,392.20","1,373.72","1,375.93"
05/27/2008,"1,374.98","1,387.40","1,373.07","1,385.35"
05/28/2008,"1,388.38","1,391.25","1,378.16","1,390.84"
05/29/2008,"1,387.50","1,406.32","1,388.59","1,398.26"
05/30/2008,"1,401.86","1,404.46","1,398.08","1,400.38"
06/02/2008,"1,395.74","1,399.62","1,377.79","1,385.67"
06/03/2008,"1,389.88","1,393.12","1,370.12","1,377.65"
06/04/2008,"1,373.97","1,388.18","1,371.74","1,377.20"
06/05/2008,"1,382.33","1,404.05","1,377.48","1,404.05"
06/06/2008,"1,419.93","1,400.06","1,359.90","1,360.68"
06/09/2008,"1,366.18","1,370.63","1,350.62","1,361.76"
06/10/2008,"1,351.93","1,366.84","1,351.56","1,358.44"
06/11/2008,"1,355.25","1,357.09","1,335.47","1,335.49"
06/12/2008,"1,342.56","1,353.03","1,331.29","1,339.87"
06/13/2008,"1,347.73","1,360.03","1,341.71","1,360.03"
06/16/2008,"1,351.74","1,364.70","1,352.07","1,360.14"
06/17/2008,"1,365.56","1,366.59","1,350.54","1,350.93"
06/18/2008,"1,341.49","1,349.59","1,333.40","1,337.81"
06/19/2008,"1,336.69","1,347.66","1,330.50","1,342.83"
06/20/2008,"1,339.28","1,341.02","1,314.46","1,317.93"
06/23/2008,"1,322.35","1,323.78","1,315.31","1,318.00"
06/24/2008,"1,311.62","1,326.02","1,304.42","1,314.29"
06/25/2008,"1,319.24","1,335.63","1,314.54","1,321.97"
06/26/2008,"1,307.49","1,316.29","1,283.15","1,283.15"
06/27/2008,"1,284.44","1,289.45","1,272.00","1,278.38"
06/30/2008,"1,280.33","1,290.31","1,274.86","1,280.00"
07/01/2008,"1,266.79","1,285.31","1,260.68","1,284.91"
07/02/2008,"1,290.11","1,292.17","1,261.51","1,261.52"
07/03/2008,"1,269.93","1,271.48","1,252.01","1,262.90"
07/07/2008,"1,265.67","1,273.95","1,240.68","1,252.31"
